assembly,candidate_index,candidate_name,party,total_votes_evm,rank,is_top4
Nilokheri,14,Subhash Chand,,238,10,0
Nilokheri,12,Sarita,,228,11,0
Nilokheri,13,Sundari,,166,12,0
Nilokheri,8,Naveen Kumar,,142,13,0
Nilokheri,10,Rajiv Kumar,,84,14,0
Nilokheri,6,Deepak Kumar,,64,15,0
Nuh,0,Aftab Ahmed,INC,91697,1,1
Nuh,1,Tahir Hussain,INLD,44826,2,1
Nuh,4,Sanjay Singh,BJP,15810,3,1
Nuh,2,Birender,JJP,1565,4,1
Nuh,3,Rabia Kidwai,,212,5,0
Nuh,5,Anwar,,190,6,0
Palwal,2,Gaurav Gautam,BJP,108795,1,1
Palwal,1,Karan Singh Dalal,INC,75126,2,1
Palwal,8,Kumar Harit,ASP(KR),2568,3,1
Palwal,0,Abhishek Deshwal,BSP,2536,4,1
Palwal,11,Shiv Dutt,,1116,5,0
Palwal,3,Dharmender Singh,,629,6,0
Palwal,12,Sunil Kumar,,325,7,0
Palwal,10,Mamta Solanki,,141,8,0
Palwal,9,Girraj,,124,9,0
Palwal,7,Satbir Singh,,95,10,0
Palwal,6,Rampal,,75,11,0
Palwal,4,Gopal Dutt,,68,12,0
Palwal,5,Panch Lal Prasad,,36,13,0
Panchkula,1,Chander Mohan,INC,67253,1,1
Panchkula,2,Gian Chand Gupta,BJP,65277,2,1
Panchkula,3,Prem Garg,,3329,3,1
Panchkula,0,Dr Kshitij Choudhary,INLD,1374,4,1
Panchkula,4,Sushil Garg,JJP,1153,5,0
Panchkula,8,M P Sharma,,305,6,0
Panchkula,7,Natasha Sood,,233,7,0
Panchkula,9,Saroj Bala,,150,8,0
Panchkula,5,Kishan Singh Negi,,110,9,0
Panchkula,6,Bharat Bhushan Gurjar,,58,10,0
Panipat City,0,Parmod Kumar Vij,BJP,81606,1,1
Panipat City,2,Varinder Kumar Shah,INC,45929,2,1
Panipat City,8,Rohita Rewri,,15528,3,1
Panipat City,1,Ritu Arora,,702,4,1
Panipat City,3,Saroj Bala Gur,BSP,693,5,0
Panipat City,6,Dilbag Singh Krantikari,,438,6,0
Panipat City,5,Ca Jagdish Dhamija,,397,7,0
Panipat City,9,Sawami Agnivesh,,169,8,0
Panipat City,10,Himanshu Sharma,,164,9,0
Panipat City,7,Ramesh Kumar Chaudhary,,133,10,0
Panipat City,4,Bhateri Devi,,84,11,0
Panipat Rural,0,Mahipal Dhanda,BJP,100881,1,1
Panipat Rural,3,Sachin Kundu,INC,50673,2,1
Panipat Rural,10,Vijay Jain,,43244,3,1
Panipat Rural,4,Sukhvir Malik,,1676,4,1
Panipat Rural,2,Ranbir Singh,BSP,1607,5,0
Panipat Rural,5,Amit Maurya,,386,6,0
Panipat Rural,1,Raghunath Tanwar Kashyap,JJP,378,7,0
Panipat Rural,9,Ramesh Singla,,240,8,0
Panipat Rural,8,Evender,,198,9,0
Panipat Rural,6,Master Kuldeep Redhu,,128,10,0
Panipat Rural,7,Diptid,,87,11,0
Pataudi,4,Chaudhary Bimla,BJP,98045,1,1
Pataudi,1,Pearl Choudhary,INC,51748,2,1
Pataudi,2,Pawan Kumar Bhora,INLD,3194,3,1
Pataudi,3,Pardeep Jatauli,,1855,4,1
Pataudi,0,Amarnath J. E.,JJP,952,5,0
Pataudi,5,Gurdass,,378,6,0
Pataudi,6,Satyavir Janaula,,280,7,0
Pehowa,3,Mandeep Chatha,INC,64240,1,1
Pehowa,1,Jai Bhagwan Sharma (Dd),BJP,57832,2,1
Pehowa,2,Baldev Singh Waraich,INLD,1763,3,1
Pehowa,4,Dr. Sukhwinder Kaur,JJP,1246,4,1
Pehowa,6,Gurnam Singh,,1169,5,0
Pehowa,0,Gehal Singh Sandhu,,884,6,0
Pehowa,7,Rajat Sharma Ismailabad,,394,7,0
Pehowa,8,Shyam Lal Gumthala Garhu,,166,8,0
Pehowa,5,Kuldeep Singh,,106,9,0
Prithla,2,Raghubir Tewatia,INC,69958,1,1
Prithla,1,Tek Chand Sharma,BJP,49579,2,1
Prithla,9,Nayanpal Rawat,,21987,3,1
Prithla,8,Deepak Dagar,,16028,4,1
Prithla,3,Surender Vashisht,BSP,4402,5,0
Prithla,6,Abdut Nath,,959,6,0
Prithla,10,Bijender Singh Advocate,,709,7,0
Prithla,0,Kaushal Tatarpur,,703,8,0
Prithla,11,Rahul,,596,9,0
Prithla,5,Mukesh,,304,10,0
Prithla,12,Samey Singh,,284,11,0
Prithla,4,Giriraj Jatola,ASP(KR),267,12,0
Prithla,7,Jitender Kumar,,219,13,0
Punahana,2,Mohammad Ilyas,INC,85173,1,1
Punahana,5,Rahish Khan,,53327,2,1
Punahana,3,Mohd Aizaz Khan,BJP,5055,3,1
Punahana,1,Nayab Hussain,,852,4,1
Punahana,4,Ataullah,ASP(KR),829,5,0
Punahana,0,Daya Wati,INLD,289,6,0
Punahana,6,Sajid,,204,7,0
Pundri,1,Satpal Jamba,BJP,42544,1,1
Pundri,15,Satbir Bhana,,40380,2,1
Pundri,2,Sultan Jadaula,INC,25963,3,1
Pundri,7,Gurinder Singh Habri,,8060,4,1
Pundri,14,Sajjan Singh Dhull,,4910,5,0
Pundri,3,Hisam Singh Bhukkal,BSP,4867,6,0
Pundri,8,Dinesh Kaushik,,3076,7,0
Pundri,0,Narender Sharma,,2549,8,0
Pundri,17,Haripal Pahalwan,,496,9,0
Pundri,10,Naresh Kumar Pharal,,393,10,0
Pundri,13,Advocate Rakesh Sharma,,347,11,0
Pundri,11,Parmod Chuharmajra,,311,12,0
Pundri,4,Babu Ram,,232,13,0
Pundri,6,Amit Kumar,,152,14,0
Pundri,9,Dilbag Bhana,,130,15,0
Pundri,16,Sunita Battan,,118,16,0
Pundri,5,Engineer Suresh Kumar,,98,17,0
Pundri,12,Randhir Singh Gollen,,88,18,0
Radaur,3,Shyam Singh Rana,BJP,73117,1,1
Radaur,1,Dr. Bishan Lal Saini,INC,59868,2,1
Radaur,0,Dharampal Tigra,BSP,11153,3,1
Radaur,2,Bhim Singh Rathi,,3233,4,1
Radaur,6,Mandeep Topra,ASP(KR),2952,5,0
Radaur,5,Diwan Chand Kamboj,,601,6,0
Radaur,9,Jai Parkash Sharma,,312,7,0
Radaur,4,Dayanand,,259,8,0
Radaur,7,Anil Kumar Batta,,176,9,0
Radaur,8,Ashok Kumar,,173,10,0
Rai,0,Krishna Gahlawat,BJP,64478,1,1
Rai,1,Jai Bhagwan Antil,INC,59667,2,1
Rai,8,Prateek Rajkumar Sharma,,12243,3,1
Rai,2,Parmod Dahiya,INLD,701,4,1
Rai,11,Rahul Kiroriwal,,634,5,0
Rai,13,Sitender,,400,6,0
Rai,3,Bijender,JJP,306,7,0
Rai,4,Rajesh Saroha,,280,8,0
Rai,5,Devender Singh,,225,9,0
Rai,7,Sant Dharamveer Chotivala,,102,10,0
Rai,12,Sandeep Kumar,,74,11,0
Rai,9,Bijender Kumar,,65,12,0
Rai,6,Mukesh Tapsi,,60,13,0
Rai,10,Rajesh Kumar,,60,14,0
Rania,0,Arjun Chautala,INLD,43719,1,1
Rania,2,Sarv Mitter,INC,39491,2,1
Rania,11,Ranjit Singh,,36313,3,1
Rania,1,Sheeshpal Kamboj,BJP,15622,4,1
Rania,3,Harpinder Singh,,4680,5,0
Rania,8,Gagan Deep Jalandhra,,936,6,0
Rania,6,Sanjay Malik,,477,7,0
Rania,12,Vikram Kharian,,452,8,0
Rania,10,Joginder Ram,,435,9,0
Rania,13,Satpal Verma,,271,10,0
Rania,9,Gottam Saharan,,247,11,0
Rania,4,Dalbir Singh,,242,12,0
Rania,5,Lucky Balmiki,,140,13,0
Rania,7,Arjun Dass,,92,14,0
Ratia,0,Jarnail Singh,INC,85883,1,1
Ratia,4,Sunita Duggal,BJP,64751,2,1
Ratia,3,Ramsarup Rama,,5731,3,1
Ratia,1,Mukhtyar Singh Bazigar,,3269,4,1
Ratia,2,Ramesh,JJP,993,5,0
Ratia,6,Tejpal,,609,6,0
Ratia,5,Surjit Singh Pardhan,,540,7,0
Ratia,7,Raj Kumar,,396,8,0
Ratia,9,Surender Kumar Phoolan,,228,9,0
Ratia,8,Rajbir,,219,10,0
Rewari,1,Laxman Singh Yadav,BJP,83236,1,1
Rewari,0,Chiranjeev Rao,INC,54365,2,1
Rewari,2,Satish Yadav,,18365,3,1
Rewari,9,Prashant Sunny Yadav,,7731,4,1
Rewari,3,Somany Vijay,BSP,751,5,0
Rewari,11,Shishupal,,350,6,0
Rewari,10,Sanjay Sharma,,276,7,0
Rewari,5,Moki Devi,ASP(KR),204,8,0
Rewari,6,Ranbir Singh,,174,9,0
Rewari,4,Kartar Singh Thekedar,,153,10,0
Rewari,8,Rao Jitender Kumar,,84,11,0
Rewari,7,Omdutt Yadav,,54,12,0
Rohtak,3,Bharat Bhushan Batra,INC,58830,1,1
Rohtak,4,Manish Kumar Grover,BJP,57805,2,1
Rohtak,2,Bijender Hooda,,1180,3,1
Rohtak,1,Dilour Mehra,INLD,423,4,1
Rohtak,0,Jitender Balhara,JJP,268,5,0
Rohtak,5,Parveen Kumar,,171,6,0
Rohtak,7,Mahender Bagri,,138,7,0
Rohtak,11,Bishamber Kumar,,98,8,0
Rohtak,12,Bhushan Bharat,,86,9,0
Rohtak,6,Manisha Mokhra,,58,10,0
Rohtak,8,Ashwani Malik,,38,11,0
Rohtak,13,Yashpal,,32,12,0
Rohtak,9,Anand Kumar,,30,13,0
Rohtak,10,Navdeep Singh Raman,,27,14,0
Rohtak,14,Surender Kumar,,18,15,0
Sadhaura,3,Renu Bala,INC,57248,1,1
Sadhaura,0,Balwant Singh,BJP,55608,2,1
Sadhaura,1,Brij Pal,BSP,53388,3,1
Sadhaura,6,Sohil,ASP(KR),4459,4,1
Sadhaura,2,Rita Rani,,933,5,0
Sadhaura,8,Beta Mamchand Rattu,,437,6,0
Sadhaura,4,Jai Pal,,329,7,0
Sadhaura,5,Jasbir Singh,,290,8,0
Sadhaura,7,Pooja Nagra,,210,9,0
Safidon,2,Ram Kumar Gautam,BJP,58699,1,1
Safidon,3,Subhash Gangoli,INC,54517,2,1
Safidon,9,Jasbir Deswal,,20066,3,1
Safidon,10,Bachan Singh Arya,,8746,4,1
Safidon,4,Sushil Bairagi,JJP,810,5,0
Safidon,1,Pinki Kundu,BSP,806,6,0
Safidon,13,Vipuls,,420,7,0
Safidon,8,Gurmeet,,298,8,0
Safidon,6,Advocate Rinku Muana,,296,9,0
Safidon,12,Vijay Pal,,223,10,0
Safidon,7,Kumar Ajit,,191,11,0
Safidon,0,Nisha Deswal,,185,12,0
Safidon,15,Suyag,,107,13,0
Safidon,5,Rakesh Kumar,,92,14,0
Safidon,14,Ubhash Saini,,73,15,0
Safidon,11,Monu Lohan,,65,16,0
Safidon,16,Sushil Kumar,,31,17,0
Samalkha,3,Manmohan Bhadana,BJP,80950,1,1
Samalkha,2,Dharam Singh Chhoker,INC,61610,2,1
Samalkha,5,Ravinder Machhrauli,,21066,3,1
Samalkha,4,Rajesh,INLD,1097,4,1
Samalkha,1,Jaikanwar Alias Bittu Pahalwan,,1048,5,0
Samalkha,0,Gangaram Swami,JJP,846,6,0
Samalkha,6,Satish Kumar,,286,7,0
Shahbad,0,Ram Karan,INC,61050,1,1
Shahbad,1,Subhash Chand,BJP,54609,2,1
Shahbad,2,Chander Bhan Chauhan,BSP,1638,3,1
Shahbad,3,Kanta Aalldia,Mission Ekta Party,1333,4,1
Shahbad,4,Asha Rani,AAP,932,5,0
Shahbad,5,Rajeeta Singh,JJP,431,6,0
Shahbad,6,Pawan Kumar,IND,358,7,0
Shahbad,7,Rajesh Kanipla,IND,235,8,0
Shahbad,8,Shiv Nath,IND,185,9,0
Sirsa,0,Gokul Setia,INC,78466,1,1
Sirsa,3,Gopal Kanda,,71566,2,1
Sirsa,1,Pawan Sherpura,JJP,1751,3,1
Sirsa,8,Ca Darvesh Swami,,1167,4,1
Sirsa,2,Shyam Sunder,,846,5,0
Sirsa,9,Bharat Kumar Girdhar @ Sunny Singh,,577,6,0
Sirsa,10,Madan Lal,,446,7,0
Sirsa,12,Rajbeer,,302,8,0
Sirsa,4,Jaiveer Singh,,284,9,0
Sirsa,5,Mani Ram,,246,10,0
Sirsa,11,Yogesh Kanodia,,208,11,0
Sirsa,6,Yogesh Odd,,163,12,0
Sirsa,7,Om Parkash,,79,13,0
Sohna,0,Tejpal Tanwar,BJP,60994,1,1
Sohna,2,Rohtas Singh,INC,49177,2,1
Sohna,7,Ahmed Javed,,49171,3,1
Sohna,6,Kalyan Singh,,21703,4,1
Sohna,3,Sunder Bhadana,BSP,15454,5,0
Sohna,1,Dharmendra Khatana,,2852,6,0
Sohna,5,Vinesh Gujjar Ghata,ASP(KR),2037,7,0
Sohna,4,Ataullah Khan,,506,8,0
Sohna,8,Dayaram,,256,9,0
Sohna,9,Subhash Chand,,252,10,0
Sonipat,1,Nikhil Madaan,BJP,84575,1,1
Sonipat,3,Surender Panwar,INC,54727,2,1
Sonipat,0,Devinder Gautam,,1193,3,1
Sonipat,2,Sardharam Singh,INLD,1022,4,1
Sonipat,6,Rajiv Verma,,761,5,0
Sonipat,4,Ishwar Singh Rathee,,246,6,0
Sonipat,7,Rajesh,ASP(KR),226,7,0
Sonipat,11,Ramesh Khatri Lamberdar,,208,8,0
Sonipat,9,Dr. Kamlesh Kumar Saini,,116,9,0
Sonipat,8,Sushil Kumar Manav,,104,10,0
Sonipat,5,Pawan Sanatani,,70,11,0
Sonipat,10,Dharambir Foji,,60,12,0
Thanesar,0,Ashok Kumar Arora,INC,69293,1,1
Thanesar,3,Subhash Sudha,BJP,66450,2,1
Thanesar,1,Krishan Bajaj,,2927,3,1
Thanesar,2,Tanuja,BSP,1690,4,1
Thanesar,4,Surya Partap Singh Rathore,JJP,381,5,0
Thanesar,6,Abhishek Punia,,159,6,0
Thanesar,5,Jaiveer Singh Ranga,,141,7,0
Thanesar,8,Mehar,,92,8,0
Thanesar,7,Ashok Kumar,,71,9,0
Tigaon,2,Rajesh Nagar,BJP,94084,1,1
Tigaon,9,Lalit Nagar S/O Late Bharat Singh Nagar,,56729,2,1
Tigaon,3,Rohit Nagar,INC,21599,3,1
Tigaon,8,Girraj Sharma,,11802,4,1
Tigaon,0,Abhash Chandela,,5665,5,0
Tigaon,6,Shiv Narayan Dubey,,3977,6,0
Tigaon,4,Lal Chand Sharma,BSP,3682,7,0
Tigaon,7,Someshwar Singh,,1022,8,0
Tigaon,10,Lalit Nagar S/O Vijay Pal,,978,9,0
Tigaon,1,Tika Ram,JJP,854,10,0
Tigaon,11,Sandeep Mehta,,533,11,0
Tigaon,5,Ram Bahadur,,313,12,0
Tigaon,12,Pundit Subhash Chandra Dubey Gorakhpuri,,298,13,0
Tohana,2,Paramvir Singh,INC,87892,1,1
Tohana,1,Devender Singh Babli,BJP,77363,2,1
Tohana,0,Kunal Karan Singh,INLD,9730,3,1
Tohana,3,Sukhvinder Singh S/O Avtar Singh,,1604,4,1
Tohana,4,Hawa Singh Khobra,JJP,588,5,0
Tohana,11,Sukhvinder Singh S/O Baldev Singh,,394,6,0
Tohana,9,Rameshwar Lal,,323,7,0
Tohana,10,Ray Singh,,311,8,0
Tohana,5,Karambir,,262,9,0
Tohana,7,Narender Siwach Tinu,,151,10,0
Tohana,6,Dharampal Shere Gill,,70,11,0
Tohana,8,Nikhil Kumar,,66,12,0
Tosham,4,Shruti Choudhry,BJP,75728,1,1
Tosham,0,Anirudh Chaudhary,INC,61417,2,1
Tosham,14,Shashi Ranjan Parmar,,15776,3,1
Tosham,3,Rajesh Bhardwaj,JJP,2157,4,1
Tosham,1,Om Singh,BSP,1623,5,0
Tosham,2,Daljeet Singh,,513,6,0
Tosham,11,Pushpa Devi,,317,7,0
Tosham,13,Rajnish Kumar,,224,8,0
Tosham,8,Subhash Chander,,199,9,0
Tosham,5,Pardeep,,189,10,0
Tosham,6,Baba Balwan Nath,,161,11,0
Tosham,10,Krishan Kumar,,143,12,0
Tosham,12,Balwan Singh,,86,13,0
Tosham,7,Vijender Singh,,59,14,0
Tosham,9,Anil Kumar,,49,15,0
Uchana Kalan,1,Devender Chatar Bhuj Attri,BJP,48721,1,1
Uchana Kalan,3,Brijendra Singh,INC,48300,2,1
Uchana Kalan,18,Virender Ghogharian,,31325,3,1
Uchana Kalan,17,Vikas,,13406,4,1
Uchana Kalan,0,Dushyant Chautala,JJP,7914,5,0
Uchana Kalan,10,Rdilbag Sandil,,7349,6,0
Uchana Kalan,4,Vinod Pal Singh Dulganch,INLD,2641,7,0
Uchana Kalan,2,Pawan Fauji,,2480,8,0
Uchana Kalan,14,Bijender,,338,9,0
Uchana Kalan,6,Amarjeet Singh,,307,10,0
Uchana Kalan,7,Ishwar Khatkar Fouji,,263,11,0
Uchana Kalan,11,Devender,,241,12,0
Uchana Kalan,13,Comrade Pal Singh,,230,13,0
Uchana Kalan,15,Bijender Singh,,229,14,0
Uchana Kalan,5,Master Ajit Arya,,192,15,0
Uchana Kalan,12,Devender Sheoran,,191,16,0
Uchana Kalan,19,Virender Pal,,181,17,0
Uchana Kalan,9,Jogiende,,153,18,0
Uchana Kalan,16,Comrade Ramesh Khatkar,,127,19,0
Uchana Kalan,8,Gurmail Singh,,73,20,0
Uklana,2,Naresh Selwal,INC,77580,1,1
Uklana,0,Anoop Dhanak,BJP,50069,2,1
Uklana,3,Balraj Singh,INLD,11365,3,1
Uklana,1,Narender Khanna,,2040,4,1
Uklana,4,Rohtash,JJP,1212,5,0
Uklana,5,Anil Bithmara,,291,6,0
Uklana,6,Birbal Singh,,276,7,0
Yamunanagar,1,Ghanshyam Dass,BJP,72967,1,1
Yamunanagar,3,Raman Tyagi,INC,50455,2,1
Yamunanagar,2,Dilbag Singh,INLD,35981,3,1
Yamunanagar,4,Lalit Kumar Tyagi,,1649,4,1
Yamunanagar,0,Intzar Ali,JJP,493,5,0
Yamunanagar,8,Kapils,,278,6,0
Yamunanagar,7,Manga Ram,,246,7,0
Yamunanagar,6,Nirmaljeet Kaur,,231,8,0
Yamunanagar,9,Ukhwinder,,229,9,0
Yamunanagar,5,Kanchan Sharma,,141,10,0
