assembly,village,candidate,party,votes,rank_in_ac,is_top4
Bawal,Rasiyawas,Dr. Krishan Kumar,BJP,289,1,1
Bawal,Rasiyawas,Dr. M.L. Ranga,INC,694,2,1
Bawal,Rasiyawas,Sampat Ram Dahanwal,INLD,18,3,1
Bawal,Rasiyawas,Jawahar Lal,,2,4,1
Bawal,Rasiyawas,Sunil Kumar,,1,5,0
Bawal,Rasiyawas,Raj Narayan,,0,6,0
Bawal,Rasiyawas,Mangat Ram,,0,7,0
Bawal,Rasiyawas,Baljeet,,0,8,0
Bawal,Rasiyawas,Dr. Lekhram Mehra,,0,9,0
Bawal,Rasiyawas,Singh Inder,,0,10,0
Bawal,Rudh,Dr. Krishan Kumar,BJP,86,1,1
Bawal,Rudh,Dr. M.L. Ranga,INC,614,2,1
Bawal,Rudh,Sampat Ram Dahanwal,INLD,4,3,1
Bawal,Rudh,Jawahar Lal,,0,4,1
Bawal,Rudh,Sunil Kumar,,0,5,0
Bawal,Rudh,Raj Narayan,,1,6,0
Bawal,Rudh,Mangat Ram,,0,7,0
Bawal,Rudh,Baljeet,,0,8,0
Bawal,Rudh,Dr. Lekhram Mehra,,1,9,0
Bawal,Rudh,Singh Inder,,0,10,0
Bawal,Saidpur urf Jaitpur,Dr. Krishan Kumar,BJP,179,1,1
Bawal,Saidpur urf Jaitpur,Dr. M.L. Ranga,INC,404,2,1
Bawal,Saidpur urf Jaitpur,Sampat Ram Dahanwal,INLD,3,3,1
Bawal,Saidpur urf Jaitpur,Jawahar Lal,,7,4,1
Bawal,Saidpur urf Jaitpur,Sunil Kumar,,1,5,0
Bawal,Saidpur urf Jaitpur,Raj Narayan,,2,6,0
Bawal,Saidpur urf Jaitpur,Mangat Ram,,0,7,0
Bawal,Saidpur urf Jaitpur,Baljeet,,0,8,0
Bawal,Saidpur urf Jaitpur,Dr. Lekhram Mehra,,0,9,0
Bawal,Saidpur urf Jaitpur,Singh Inder,,0,10,0
Bawal,Sampali,Dr. Krishan Kumar,BJP,344,1,1
Bawal,Sampali,Dr. M.L. Ranga,INC,248,2,1
Bawal,Sampali,Sampat Ram Dahanwal,INLD,4,3,1
Bawal,Sampali,Jawahar Lal,,0,4,1
Bawal,Sampali,Sunil Kumar,,0,5,0
Bawal,Sampali,Raj Narayan,,0,6,0
Bawal,Sampali,Mangat Ram,,0,7,0
Bawal,Sampali,Baljeet,,0,8,0
Bawal,Sampali,Dr. Lekhram Mehra,,1,9,0
Bawal,Sampali,Singh Inder,,0,10,0
Bawal,Sanban,Dr. Krishan Kumar,BJP,231,1,1
Bawal,Sanban,Dr. M.L. Ranga,INC,556,2,1
Bawal,Sanban,Sampat Ram Dahanwal,INLD,14,3,1
Bawal,Sanban,Jawahar Lal,,2,4,1
Bawal,Sanban,Sunil Kumar,,0,5,0
Bawal,Sanban,Raj Narayan,,1,6,0
Bawal,Sanban,Mangat Ram,,0,7,0
Bawal,Sanban,Baljeet,,0,8,0
Bawal,Sanban,Dr. Lekhram Mehra,,0,9,0
Bawal,Sanban,Singh Inder,,0,10,0
Bawal,Sanjarpur,Dr. Krishan Kumar,BJP,333,1,1
Bawal,Sanjarpur,Dr. M.L. Ranga,INC,440,2,1
Bawal,Sanjarpur,Sampat Ram Dahanwal,INLD,16,3,1
Bawal,Sanjarpur,Jawahar Lal,,3,4,1
Bawal,Sanjarpur,Sunil Kumar,,0,5,0
Bawal,Sanjarpur,Raj Narayan,,0,6,0
Bawal,Sanjarpur,Mangat Ram,,0,7,0
Bawal,Sanjarpur,Baljeet,,0,8,0
Bawal,Sanjarpur,Dr. Lekhram Mehra,,0,9,0
Bawal,Sanjarpur,Singh Inder,,0,10,0
Bawal,Shahpur,Dr. Krishan Kumar,BJP,178,1,1
Bawal,Shahpur,Dr. M.L. Ranga,INC,742,2,1
Bawal,Shahpur,Sampat Ram Dahanwal,INLD,62,3,1
Bawal,Shahpur,Jawahar Lal,,3,4,1
Bawal,Shahpur,Sunil Kumar,,4,5,0
Bawal,Shahpur,Raj Narayan,,2,6,0
Bawal,Shahpur,Mangat Ram,,1,7,0
Bawal,Shahpur,Baljeet,,0,8,0
Bawal,Shahpur,Dr. Lekhram Mehra,,0,9,0
Bawal,Shahpur,Singh Inder,,0,10,0
Bawal,Shekhpur,Dr. Krishan Kumar,BJP,186,1,1
Bawal,Shekhpur,Dr. M.L. Ranga,INC,571,2,1
Bawal,Shekhpur,Sampat Ram Dahanwal,INLD,23,3,1
Bawal,Shekhpur,Jawahar Lal,,2,4,1
Bawal,Shekhpur,Sunil Kumar,,0,5,0
Bawal,Shekhpur,Raj Narayan,,1,6,0
Bawal,Shekhpur,Mangat Ram,,0,7,0
Bawal,Shekhpur,Baljeet,,4,8,0
Bawal,Shekhpur,Dr. Lekhram Mehra,,0,9,0
Bawal,Shekhpur,Singh Inder,,0,10,0
Bawal,Shobha ki Dhani Majra Ahrod,Dr. Krishan Kumar,BJP,406,1,1
Bawal,Shobha ki Dhani Majra Ahrod,Dr. M.L. Ranga,INC,134,2,1
Bawal,Shobha ki Dhani Majra Ahrod,Sampat Ram Dahanwal,INLD,3,3,1
Bawal,Shobha ki Dhani Majra Ahrod,Jawahar Lal,,0,4,1
Bawal,Shobha ki Dhani Majra Ahrod,Sunil Kumar,,2,5,0
Bawal,Shobha ki Dhani Majra Ahrod,Raj Narayan,,0,6,0
Bawal,Shobha ki Dhani Majra Ahrod,Mangat Ram,,0,7,0
Bawal,Shobha ki Dhani Majra Ahrod,Baljeet,,0,8,0
Bawal,Shobha ki Dhani Majra Ahrod,Dr. Lekhram Mehra,,0,9,0
Bawal,Shobha ki Dhani Majra Ahrod,Singh Inder,,1,10,0
Bawal,Subasehdi,Dr. Krishan Kumar,BJP,285,1,1
Bawal,Subasehdi,Dr. M.L. Ranga,INC,563,2,1
Bawal,Subasehdi,Sampat Ram Dahanwal,INLD,5,3,1
Bawal,Subasehdi,Jawahar Lal,,5,4,1
Bawal,Subasehdi,Sunil Kumar,,0,5,0
Bawal,Subasehdi,Raj Narayan,,3,6,0
Bawal,Subasehdi,Mangat Ram,,1,7,0
Bawal,Subasehdi,Baljeet,,1,8,0
Bawal,Subasehdi,Dr. Lekhram Mehra,,0,9,0
Bawal,Subasehdi,Singh Inder,,0,10,0
Bawal,Sulkha,Dr. Krishan Kumar,BJP,724,1,1
Bawal,Sulkha,Dr. M.L. Ranga,INC,1209,2,1
Bawal,Sulkha,Sampat Ram Dahanwal,INLD,14,3,1
Bawal,Sulkha,Jawahar Lal,,3,4,1
Bawal,Sulkha,Sunil Kumar,,0,5,0
Bawal,Sulkha,Raj Narayan,,4,6,0
Bawal,Sulkha,Mangat Ram,,0,7,0
Bawal,Sulkha,Baljeet,,0,8,0
Bawal,Sulkha,Dr. Lekhram Mehra,,2,9,0
Bawal,Sulkha,Singh Inder,,0,10,0
Bawal,Sundroj,Dr. Krishan Kumar,BJP,616,1,1
Bawal,Sundroj,Dr. M.L. Ranga,INC,275,2,1
Bawal,Sundroj,Sampat Ram Dahanwal,INLD,6,3,1
Bawal,Sundroj,Jawahar Lal,,8,4,1
Bawal,Sundroj,Sunil Kumar,,1,5,0
Bawal,Sundroj,Raj Narayan,,2,6,0
Bawal,Sundroj,Mangat Ram,,0,7,0
Bawal,Sundroj,Baljeet,,2,8,0
Bawal,Sundroj,Dr. Lekhram Mehra,,0,9,0
Bawal,Sundroj,Singh Inder,,0,10,0
Bawal,Suthana,Dr. Krishan Kumar,BJP,134,1,1
Bawal,Suthana,Dr. M.L. Ranga,INC,579,2,1
Bawal,Suthana,Sampat Ram Dahanwal,INLD,11,3,1
Bawal,Suthana,Jawahar Lal,,0,4,1
Bawal,Suthana,Sunil Kumar,,0,5,0
Bawal,Suthana,Raj Narayan,,0,6,0
Bawal,Suthana,Mangat Ram,,0,7,0
Bawal,Suthana,Baljeet,,1,8,0
Bawal,Suthana,Dr. Lekhram Mehra,,0,9,0
Bawal,Suthana,Singh Inder,,1,10,0
Bawal,Suthani,Dr. Krishan Kumar,BJP,228,1,1
Bawal,Suthani,Dr. M.L. Ranga,INC,424,2,1
Bawal,Suthani,Sampat Ram Dahanwal,INLD,2,3,1
Bawal,Suthani,Jawahar Lal,,1,4,1
Bawal,Suthani,Sunil Kumar,,1,5,0
Bawal,Suthani,Raj Narayan,,1,6,0
Bawal,Suthani,Mangat Ram,,0,7,0
Bawal,Suthani,Baljeet,,1,8,0
Bawal,Suthani,Dr. Lekhram Mehra,,1,9,0
Bawal,Suthani,Singh Inder,,0,10,0
Bawal,Tankadi,Dr. Krishan Kumar,BJP,1372,1,1
Bawal,Tankadi,Dr. M.L. Ranga,INC,766,2,1
Bawal,Tankadi,Sampat Ram Dahanwal,INLD,6,3,1
Bawal,Tankadi,Jawahar Lal,,8,4,1
Bawal,Tankadi,Sunil Kumar,,4,5,0
Bawal,Tankadi,Raj Narayan,,3,6,0
Bawal,Tankadi,Mangat Ram,,1,7,0
Bawal,Tankadi,Baljeet,,1,8,0
Bawal,Tankadi,Dr. Lekhram Mehra,,3,9,0
Bawal,Tankadi,Singh Inder,,1,10,0
Bawal,Tatarpur Khalsa,Dr. Krishan Kumar,BJP,779,1,1
Bawal,Tatarpur Khalsa,Dr. M.L. Ranga,INC,360,2,1
Bawal,Tatarpur Khalsa,Sampat Ram Dahanwal,INLD,2,3,1
Bawal,Tatarpur Khalsa,Jawahar Lal,,2,4,1
Bawal,Tatarpur Khalsa,Sunil Kumar,,1,5,0
Bawal,Tatarpur Khalsa,Raj Narayan,,1,6,0
Bawal,Tatarpur Khalsa,Mangat Ram,,2,7,0
Bawal,Tatarpur Khalsa,Baljeet,,0,8,0
Bawal,Tatarpur Khalsa,Dr. Lekhram Mehra,,0,9,0
Bawal,Tatarpur Khalsa,Singh Inder,,0,10,0
Bawal,Teet,Dr. Krishan Kumar,BJP,931,1,1
Bawal,Teet,Dr. M.L. Ranga,INC,343,2,1
Bawal,Teet,Sampat Ram Dahanwal,INLD,2,3,1
Bawal,Teet,Jawahar Lal,,2,4,1
Bawal,Teet,Sunil Kumar,,4,5,0
Bawal,Teet,Raj Narayan,,1,6,0
Bawal,Teet,Mangat Ram,,41,7,0
Bawal,Teet,Baljeet,,1,8,0
Bawal,Teet,Dr. Lekhram Mehra,,0,9,0
Bawal,Teet,Singh Inder,,1,10,0
Bawal,Thothwalkka,Dr. Krishan Kumar,BJP,311,1,1
Bawal,Thothwalkka,Dr. M.L. Ranga,INC,199,2,1
Bawal,Thothwalkka,Sampat Ram Dahanwal,INLD,0,3,1
Bawal,Thothwalkka,Jawahar Lal,,0,4,1
Bawal,Thothwalkka,Sunil Kumar,,0,5,0
Bawal,Thothwalkka,Raj Narayan,,0,6,0
Bawal,Thothwalkka,Mangat Ram,,0,7,0
Bawal,Thothwalkka,Baljeet,,0,8,0
Bawal,Thothwalkka,Dr. Lekhram Mehra,,0,9,0
Bawal,Thothwalkka,Singh Inder,,0,10,0
Bawal,Tihada,Dr. Krishan Kumar,BJP,405,1,1
Bawal,Tihada,Dr. M.L. Ranga,INC,742,2,1
Bawal,Tihada,Sampat Ram Dahanwal,INLD,13,3,1
Bawal,Tihada,Jawahar Lal,,0,4,1
Bawal,Tihada,Sunil Kumar,,0,5,0
Bawal,Tihada,Raj Narayan,,0,6,0
Bawal,Tihada,Mangat Ram,,2,7,0
Bawal,Tihada,Baljeet,,3,8,0
Bawal,Tihada,Dr. Lekhram Mehra,,10,9,0
Bawal,Tihada,Singh Inder,,0,10,0
Bawal,Tikla,Dr. Krishan Kumar,BJP,169,1,1
Bawal,Tikla,Dr. M.L. Ranga,INC,399,2,1
Bawal,Tikla,Sampat Ram Dahanwal,INLD,37,3,1
Bawal,Tikla,Jawahar Lal,,1,4,1
Bawal,Tikla,Sunil Kumar,,0,5,0
Bawal,Tikla,Raj Narayan,,1,6,0
Bawal,Tikla,Mangat Ram,,1,7,0
Bawal,Tikla,Baljeet,,1,8,0
Bawal,Tikla,Dr. Lekhram Mehra,,1,9,0
Bawal,Tikla,Singh Inder,,0,10,0
Bawani Khera,Alakhpura Majra Siwana,Kapoor Singh,BJP,466,1,1
Bawani Khera,Alakhpura Majra Siwana,Pradeep Narwal,INC,751,2,1
Bawani Khera,Alakhpura Majra Siwana,Master Satbir Ratera,,336,3,1
Bawani Khera,Alakhpura Majra Siwana,Sandeep Singh Janagal,BSP,37,4,1
Bawani Khera,Alakhpura Majra Siwana,Langyan Guddi,JJP,10,5,0
Bawani Khera,Alakhpura Majra Siwana,Dharambir,,2,6,0
Bawani Khera,Alakhpura Majra Siwana,Ramesh Kumar,,1,7,0
Bawani Khera,Alakhpura Majra Siwana,Ravita Satbir Ratera,,2,8,0
Bawani Khera,Alakhpura Majra Siwana,Dhanak Manju,,3,9,0
Bawani Khera,Alakhpura Majra Siwana,Vikas,,1,10,0
Bawani Khera,Badesara,Kapoor Singh,BJP,1407,1,1
Bawani Khera,Badesara,Pradeep Narwal,INC,1830,2,1
Bawani Khera,Badesara,Master Satbir Ratera,,308,3,1
Bawani Khera,Badesara,Sandeep Singh Janagal,BSP,24,4,1
Bawani Khera,Badesara,Langyan Guddi,JJP,26,5,0
Bawani Khera,Badesara,Dharambir,,13,6,0
Bawani Khera,Badesara,Ramesh Kumar,,1,7,0
Bawani Khera,Badesara,Ravita Satbir Ratera,,5,8,0
Bawani Khera,Badesara,Dhanak Manju,,2,9,0
Bawani Khera,Badesara,Vikas,,2,10,0
Bawani Khera,Badsi,Kapoor Singh,BJP,2975,1,1
Bawani Khera,Badsi,Pradeep Narwal,INC,2107,2,1
Bawani Khera,Badsi,Master Satbir Ratera,,170,3,1
Bawani Khera,Badsi,Sandeep Singh Janagal,BSP,13,4,1
Bawani Khera,Badsi,Langyan Guddi,JJP,39,5,0
Bawani Khera,Badsi,Dharambir,,9,6,0
Bawani Khera,Badsi,Ramesh Kumar,,3,7,0
Bawani Khera,Badsi,Ravita Satbir Ratera,,1,8,0
Bawani Khera,Badsi,Dhanak Manju,,3,9,0
Bawani Khera,Badsi,Vikas,,5,10,0
Bawani Khera,Baliyali,Kapoor Singh,BJP,3119,1,1
Bawani Khera,Baliyali,Pradeep Narwal,INC,3010,2,1
Bawani Khera,Baliyali,Master Satbir Ratera,,470,3,1
Bawani Khera,Baliyali,Sandeep Singh Janagal,BSP,50,4,1
Bawani Khera,Baliyali,Langyan Guddi,JJP,19,5,0
Bawani Khera,Baliyali,Dharambir,,10,6,0
Bawani Khera,Baliyali,Ramesh Kumar,,10,7,0
Bawani Khera,Baliyali,Ravita Satbir Ratera,,5,8,0
Bawani Khera,Baliyali,Dhanak Manju,,2,9,0
Bawani Khera,Baliyali,Vikas,,0,10,0
Bawani Khera,Bawani Khera,Kapoor Singh,BJP,8981,1,1
Bawani Khera,Bawani Khera,Pradeep Narwal,INC,3415,2,1
Bawani Khera,Bawani Khera,Master Satbir Ratera,,124,3,1
Bawani Khera,Bawani Khera,Sandeep Singh Janagal,BSP,31,4,1
Bawani Khera,Bawani Khera,Langyan Guddi,JJP,31,5,0
Bawani Khera,Bawani Khera,Dharambir,,41,6,0
Bawani Khera,Bawani Khera,Ramesh Kumar,,12,7,0
Bawani Khera,Bawani Khera,Ravita Satbir Ratera,,3,8,0
Bawani Khera,Bawani Khera,Dhanak Manju,,4,9,0
Bawani Khera,Bawani Khera,Vikas,,4,10,0
Bawani Khera,Bheni Jatan Majra Kungar,Kapoor Singh,BJP,244,1,1
Bawani Khera,Bheni Jatan Majra Kungar,Pradeep Narwal,INC,794,2,1
Bawani Khera,Bheni Jatan Majra Kungar,Master Satbir Ratera,,174,3,1
Bawani Khera,Bheni Jatan Majra Kungar,Sandeep Singh Janagal,BSP,8,4,1
Bawani Khera,Bheni Jatan Majra Kungar,Langyan Guddi,JJP,7,5,0
Bawani Khera,Bheni Jatan Majra Kungar,Dharambir,,13,6,0
Bawani Khera,Bheni Jatan Majra Kungar,Ramesh Kumar,,0,7,0
Bawani Khera,Bheni Jatan Majra Kungar,Ravita Satbir Ratera,,1,8,0
Bawani Khera,Bheni Jatan Majra Kungar,Dhanak Manju,,1,9,0
Bawani Khera,Bheni Jatan Majra Kungar,Vikas,,0,10,0
Bawani Khera,Bheni Rangdan Majra Kungar,Kapoor Singh,BJP,174,1,1
Bawani Khera,Bheni Rangdan Majra Kungar,Pradeep Narwal,INC,598,2,1
Bawani Khera,Bheni Rangdan Majra Kungar,Master Satbir Ratera,,27,3,1
Bawani Khera,Bheni Rangdan Majra Kungar,Sandeep Singh Janagal,BSP,2,4,1
Bawani Khera,Bheni Rangdan Majra Kungar,Langyan Guddi,JJP,8,5,0
Bawani Khera,Bheni Rangdan Majra Kungar,Dharambir,,22,6,0
Bawani Khera,Bheni Rangdan Majra Kungar,Ramesh Kumar,,3,7,0
Bawani Khera,Bheni Rangdan Majra Kungar,Ravita Satbir Ratera,,1,8,0
Bawani Khera,Bheni Rangdan Majra Kungar,Dhanak Manju,,0,9,0
Bawani Khera,Bheni Rangdan Majra Kungar,Vikas,,0,10,0
Bawani Khera,Bohal,Kapoor Singh,BJP,228,1,1
Bawani Khera,Bohal,Pradeep Narwal,INC,856,2,1
Bawani Khera,Bohal,Master Satbir Ratera,,79,3,1
Bawani Khera,Bohal,Sandeep Singh Janagal,BSP,6,4,1
Bawani Khera,Bohal,Langyan Guddi,JJP,8,5,0
Bawani Khera,Bohal,Dharambir,,5,6,0
Bawani Khera,Bohal,Ramesh Kumar,,3,7,0
Bawani Khera,Bohal,Ravita Satbir Ratera,,2,8,0
Bawani Khera,Bohal,Dhanak Manju,,0,9,0
Bawani Khera,Bohal,Vikas,,0,10,0
Bawani Khera,Chang,Kapoor Singh,BJP,3659,1,1
Bawani Khera,Chang,Pradeep Narwal,INC,2308,2,1
Bawani Khera,Chang,Master Satbir Ratera,,846,3,1
Bawani Khera,Chang,Sandeep Singh Janagal,BSP,276,4,1
Bawani Khera,Chang,Langyan Guddi,JJP,11,5,0
Bawani Khera,Chang,Dharambir,,18,6,0
Bawani Khera,Chang,Ramesh Kumar,,14,7,0
Bawani Khera,Chang,Ravita Satbir Ratera,,6,8,0
Bawani Khera,Chang,Dhanak Manju,,5,9,0
Bawani Khera,Chang,Vikas,,1,10,0
Bawani Khera,Dhanana,Kapoor Singh,BJP,1650,1,1
Bawani Khera,Dhanana,Pradeep Narwal,INC,3319,2,1
Bawani Khera,Dhanana,Master Satbir Ratera,,558,3,1
Bawani Khera,Dhanana,Sandeep Singh Janagal,BSP,23,4,1
Bawani Khera,Dhanana,Langyan Guddi,JJP,74,5,0
Bawani Khera,Dhanana,Dharambir,,17,6,0
Bawani Khera,Dhanana,Ramesh Kumar,,2,7,0
Bawani Khera,Dhanana,Ravita Satbir Ratera,,4,8,0
Bawani Khera,Dhanana,Dhanak Manju,,4,9,0
Bawani Khera,Dhanana,Vikas,,1,10,0
Bawani Khera,Dhani Ghortapur Majra Badsi,Kapoor Singh,BJP,402,1,1
Bawani Khera,Dhani Ghortapur Majra Badsi,Pradeep Narwal,INC,123,2,1
Bawani Khera,Dhani Ghortapur Majra Badsi,Master Satbir Ratera,,1,3,1
Bawani Khera,Dhani Ghortapur Majra Badsi,Sandeep Singh Janagal,BSP,2,4,1
Bawani Khera,Dhani Ghortapur Majra Badsi,Langyan Guddi,JJP,0,5,0
Bawani Khera,Dhani Ghortapur Majra Badsi,Dharambir,,1,6,0
Bawani Khera,Dhani Ghortapur Majra Badsi,Ramesh Kumar,,0,7,0
Bawani Khera,Dhani Ghortapur Majra Badsi,Ravita Satbir Ratera,,0,8,0
Bawani Khera,Dhani Ghortapur Majra Badsi,Dhanak Manju,,0,9,0
Bawani Khera,Dhani Ghortapur Majra Badsi,Vikas,,0,10,0
Bawani Khera,Dhani Harsukh Majra Riyadi Kheda,Kapoor Singh,BJP,576,1,1
Bawani Khera,Dhani Harsukh Majra Riyadi Kheda,Pradeep Narwal,INC,54,2,1
Bawani Khera,Dhani Harsukh Majra Riyadi Kheda,Master Satbir Ratera,,18,3,1
Bawani Khera,Dhani Harsukh Majra Riyadi Kheda,Sandeep Singh Janagal,BSP,1,4,1
Bawani Khera,Dhani Harsukh Majra Riyadi Kheda,Langyan Guddi,JJP,1,5,0
Bawani Khera,Dhani Harsukh Majra Riyadi Kheda,Dharambir,,2,6,0
Bawani Khera,Dhani Harsukh Majra Riyadi Kheda,Ramesh Kumar,,0,7,0
Bawani Khera,Dhani Harsukh Majra Riyadi Kheda,Ravita Satbir Ratera,,0,8,0
Bawani Khera,Dhani Harsukh Majra Riyadi Kheda,Dhanak Manju,,0,9,0
Bawani Khera,Dhani Harsukh Majra Riyadi Kheda,Vikas,,0,10,0
Bawani Khera,Dhani Kushal Majra Badsi,Kapoor Singh,BJP,1084,1,1
Bawani Khera,Dhani Kushal Majra Badsi,Pradeep Narwal,INC,121,2,1
Bawani Khera,Dhani Kushal Majra Badsi,Master Satbir Ratera,,17,3,1
Bawani Khera,Dhani Kushal Majra Badsi,Sandeep Singh Janagal,BSP,7,4,1
Bawani Khera,Dhani Kushal Majra Badsi,Langyan Guddi,JJP,2,5,0
Bawani Khera,Dhani Kushal Majra Badsi,Dharambir,,3,6,0
Bawani Khera,Dhani Kushal Majra Badsi,Ramesh Kumar,,0,7,0
Bawani Khera,Dhani Kushal Majra Badsi,Ravita Satbir Ratera,,2,8,0
Bawani Khera,Dhani Kushal Majra Badsi,Dhanak Manju,,0,9,0
Bawani Khera,Dhani Kushal Majra Badsi,Vikas,,0,10,0
Bawani Khera,Dingadana,Kapoor Singh,BJP,3027,1,1
Bawani Khera,Dingadana,Pradeep Narwal,INC,647,2,1
Bawani Khera,Dingadana,Master Satbir Ratera,,50,3,1
Bawani Khera,Dingadana,Sandeep Singh Janagal,BSP,7,4,1
Bawani Khera,Dingadana,Langyan Guddi,JJP,13,5,0
Bawani Khera,Dingadana,Dharambir,,8,6,0
Bawani Khera,Dingadana,Ramesh Kumar,,0,7,0
Bawani Khera,Dingadana,Ravita Satbir Ratera,,3,8,0
Bawani Khera,Dingadana,Dhanak Manju,,3,9,0
Bawani Khera,Dingadana,Vikas,,10,10,0
Bawani Khera,Durjanpur Majra Badsi,Kapoor Singh,BJP,1894,1,1
Bawani Khera,Durjanpur Majra Badsi,Pradeep Narwal,INC,1489,2,1
Bawani Khera,Durjanpur Majra Badsi,Master Satbir Ratera,,158,3,1
Bawani Khera,Durjanpur Majra Badsi,Sandeep Singh Janagal,BSP,10,4,1
Bawani Khera,Durjanpur Majra Badsi,Langyan Guddi,JJP,81,5,0
Bawani Khera,Durjanpur Majra Badsi,Dharambir,,44,6,0
Bawani Khera,Durjanpur Majra Badsi,Ramesh Kumar,,2,7,0
Bawani Khera,Durjanpur Majra Badsi,Ravita Satbir Ratera,,1,8,0
Bawani Khera,Durjanpur Majra Badsi,Dhanak Manju,,2,9,0
Bawani Khera,Durjanpur Majra Badsi,Vikas,,0,10,0
Bawani Khera,Ghuskanwas,Kapoor Singh,BJP,250,1,1
Bawani Khera,Ghuskanwas,Pradeep Narwal,INC,990,2,1
Bawani Khera,Ghuskanwas,Master Satbir Ratera,,139,3,1
Bawani Khera,Ghuskanwas,Sandeep Singh Janagal,BSP,4,4,1
Bawani Khera,Ghuskanwas,Langyan Guddi,JJP,3,5,0
Bawani Khera,Ghuskanwas,Dharambir,,5,6,0
Bawani Khera,Ghuskanwas,Ramesh Kumar,,1,7,0
Bawani Khera,Ghuskanwas,Ravita Satbir Ratera,,0,8,0
Bawani Khera,Ghuskanwas,Dhanak Manju,,0,9,0
Bawani Khera,Ghuskanwas,Vikas,,0,10,0
Bawani Khera,Gujrani,Kapoor Singh,BJP,1926,1,1
Bawani Khera,Gujrani,Pradeep Narwal,INC,725,2,1
Bawani Khera,Gujrani,Master Satbir Ratera,,37,3,1
Bawani Khera,Gujrani,Sandeep Singh Janagal,BSP,4,4,1
Bawani Khera,Gujrani,Langyan Guddi,JJP,3,5,0
Bawani Khera,Gujrani,Dharambir,,3,6,0
Bawani Khera,Gujrani,Ramesh Kumar,,3,7,0
Bawani Khera,Gujrani,Ravita Satbir Ratera,,2,8,0
Bawani Khera,Gujrani,Dhanak Manju,,3,9,0
Bawani Khera,Gujrani,Vikas,,2,10,0
Bawani Khera,Jamalpur,Kapoor Singh,BJP,2374,1,1
Bawani Khera,Jamalpur,Pradeep Narwal,INC,2058,2,1
Bawani Khera,Jamalpur,Master Satbir Ratera,,172,3,1
Bawani Khera,Jamalpur,Sandeep Singh Janagal,BSP,78,4,1
Bawani Khera,Jamalpur,Langyan Guddi,JJP,8,5,0
Bawani Khera,Jamalpur,Dharambir,,13,6,0
Bawani Khera,Jamalpur,Ramesh Kumar,,8,7,0
Bawani Khera,Jamalpur,Ravita Satbir Ratera,,1,8,0
Bawani Khera,Jamalpur,Dhanak Manju,,5,9,0
Bawani Khera,Jamalpur,Vikas,,4,10,0
Bawani Khera,Jatai,Kapoor Singh,BJP,873,1,1
Bawani Khera,Jatai,Pradeep Narwal,INC,1300,2,1
Bawani Khera,Jatai,Master Satbir Ratera,,100,3,1
Bawani Khera,Jatai,Sandeep Singh Janagal,BSP,9,4,1
Bawani Khera,Jatai,Langyan Guddi,JJP,27,5,0
Bawani Khera,Jatai,Dharambir,,9,6,0
Bawani Khera,Jatai,Ramesh Kumar,,1,7,0
Bawani Khera,Jatai,Ravita Satbir Ratera,,1,8,0
Bawani Khera,Jatai,Dhanak Manju,,2,9,0
Bawani Khera,Jatai,Vikas,,0,10,0
Bawani Khera,Jitakhedi Majra Badsi,Kapoor Singh,BJP,317,1,1
Bawani Khera,Jitakhedi Majra Badsi,Pradeep Narwal,INC,404,2,1
Bawani Khera,Jitakhedi Majra Badsi,Master Satbir Ratera,,40,3,1
Bawani Khera,Jitakhedi Majra Badsi,Sandeep Singh Janagal,BSP,8,4,1
Bawani Khera,Jitakhedi Majra Badsi,Langyan Guddi,JJP,2,5,0
Bawani Khera,Jitakhedi Majra Badsi,Dharambir,,31,6,0
Bawani Khera,Jitakhedi Majra Badsi,Ramesh Kumar,,0,7,0
Bawani Khera,Jitakhedi Majra Badsi,Ravita Satbir Ratera,,0,8,0
Bawani Khera,Jitakhedi Majra Badsi,Dhanak Manju,,0,9,0
Bawani Khera,Jitakhedi Majra Badsi,Vikas,,0,10,0
Bawani Khera,Kaluwas,Kapoor Singh,BJP,586,1,1
Bawani Khera,Kaluwas,Pradeep Narwal,INC,589,2,1
Bawani Khera,Kaluwas,Master Satbir Ratera,,46,3,1
Bawani Khera,Kaluwas,Sandeep Singh Janagal,BSP,1,4,1
Bawani Khera,Kaluwas,Langyan Guddi,JJP,1,5,0
Bawani Khera,Kaluwas,Dharambir,,0,6,0
Bawani Khera,Kaluwas,Ramesh Kumar,,1,7,0
Bawani Khera,Kaluwas,Ravita Satbir Ratera,,0,8,0
Bawani Khera,Kaluwas,Dhanak Manju,,0,9,0
Bawani Khera,Kaluwas,Vikas,,0,10,0
Bawani Khera,Kelanga,Kapoor Singh,BJP,5398,1,1
Bawani Khera,Kelanga,Pradeep Narwal,INC,1016,2,1
Bawani Khera,Kelanga,Master Satbir Ratera,,364,3,1
Bawani Khera,Kelanga,Sandeep Singh Janagal,BSP,10,4,1
Bawani Khera,Kelanga,Langyan Guddi,JJP,28,5,0
Bawani Khera,Kelanga,Dharambir,,16,6,0
Bawani Khera,Kelanga,Ramesh Kumar,,5,7,0
Bawani Khera,Kelanga,Ravita Satbir Ratera,,7,8,0
Bawani Khera,Kelanga,Dhanak Manju,,4,9,0
Bawani Khera,Kelanga,Vikas,,5,10,0
Bawani Khera,Kharak Kalan,Kapoor Singh,BJP,4949,1,1
Bawani Khera,Kharak Kalan,Pradeep Narwal,INC,1565,2,1
