assembly,village,candidate,party,votes,rank_in_ac,is_top4
Adampur,Bhodia Bishnoiyan,Rajesh Kumar,,6,6,0
Adampur,Bhodia Bishnoiyan,Ramphal,,5,7,0
Adampur,Bhodia Bishnoiyan,Renu Chahal Balsamand,,2,8,0
Adampur,Bhodia Bishnoiyan,Parmod Baswana,,0,9,0
Adampur,Bhodia Bishnoiyan,Chander Parkash S/O Raja Ram,,2,10,0
Adampur,Bhodia Bishnoiyan,Baljeet Singh,,0,11,0
Adampur,Bhodia Bishnoiyan,Amit,,0,12,0
Adampur,Bir Babran,Chander Parkash S/O Arjun Lal,INC,616,1,1
Adampur,Bir Babran,Bhavya Bishnoi,BJP,768,2,1
Adampur,Bir Babran,Randeep Choudaryvas,INLD,8,3,1
Adampur,Bir Babran,Bhupender Beniwal,,12,4,1
Adampur,Bir Babran,Krishan Gangwa Parjapati,JJP,4,5,0
Adampur,Bir Babran,Rajesh Kumar,,5,6,0
Adampur,Bir Babran,Ramphal,,4,7,0
Adampur,Bir Babran,Renu Chahal Balsamand,,3,8,0
Adampur,Bir Babran,Parmod Baswana,,0,9,0
Adampur,Bir Babran,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Bir Babran,Baljeet Singh,,0,11,0
Adampur,Bir Babran,Amit,,1,12,0
Adampur,Budak,Chander Parkash S/O Arjun Lal,INC,1228,1,1
Adampur,Budak,Bhavya Bishnoi,BJP,787,2,1
Adampur,Budak,Randeep Choudaryvas,INLD,22,3,1
Adampur,Budak,Bhupender Beniwal,,10,4,1
Adampur,Budak,Krishan Gangwa Parjapati,JJP,11,5,0
Adampur,Budak,Rajesh Kumar,,7,6,0
Adampur,Budak,Ramphal,,0,7,0
Adampur,Budak,Renu Chahal Balsamand,,4,8,0
Adampur,Budak,Parmod Baswana,,1,9,0
Adampur,Budak,Chander Parkash S/O Raja Ram,,1,10,0
Adampur,Budak,Baljeet Singh,,0,11,0
Adampur,Budak,Amit,,0,12,0
Adampur,Chabarwal,Chander Parkash S/O Arjun Lal,INC,245,1,1
Adampur,Chabarwal,Bhavya Bishnoi,BJP,228,2,1
Adampur,Chabarwal,Randeep Choudaryvas,INLD,0,3,1
Adampur,Chabarwal,Bhupender Beniwal,,13,4,1
Adampur,Chabarwal,Krishan Gangwa Parjapati,JJP,5,5,0
Adampur,Chabarwal,Rajesh Kumar,,4,6,0
Adampur,Chabarwal,Ramphal,,2,7,0
Adampur,Chabarwal,Renu Chahal Balsamand,,0,8,0
Adampur,Chabarwal,Parmod Baswana,,0,9,0
Adampur,Chabarwal,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Chabarwal,Baljeet Singh,,0,11,0
Adampur,Chabarwal,Amit,,0,12,0
Adampur,Chikanwas,Chander Parkash S/O Arjun Lal,INC,883,1,1
Adampur,Chikanwas,Bhavya Bishnoi,BJP,832,2,1
Adampur,Chikanwas,Randeep Choudaryvas,INLD,24,3,1
Adampur,Chikanwas,Bhupender Beniwal,,8,4,1
Adampur,Chikanwas,Krishan Gangwa Parjapati,JJP,9,5,0
Adampur,Chikanwas,Rajesh Kumar,,2,6,0
Adampur,Chikanwas,Ramphal,,3,7,0
Adampur,Chikanwas,Renu Chahal Balsamand,,1,8,0
Adampur,Chikanwas,Parmod Baswana,,0,9,0
Adampur,Chikanwas,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Chikanwas,Baljeet Singh,,2,11,0
Adampur,Chikanwas,Amit,,0,12,0
Adampur,Choudharywali,Chander Parkash S/O Arjun Lal,INC,430,1,1
Adampur,Choudharywali,Bhavya Bishnoi,BJP,1394,2,1
Adampur,Choudharywali,Randeep Choudaryvas,INLD,22,3,1
Adampur,Choudharywali,Bhupender Beniwal,,33,4,1
Adampur,Choudharywali,Krishan Gangwa Parjapati,JJP,5,5,0
Adampur,Choudharywali,Rajesh Kumar,,6,6,0
Adampur,Choudharywali,Ramphal,,5,7,0
Adampur,Choudharywali,Renu Chahal Balsamand,,2,8,0
Adampur,Choudharywali,Parmod Baswana,,0,9,0
Adampur,Choudharywali,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Choudharywali,Baljeet Singh,,0,11,0
Adampur,Choudharywali,Amit,,0,12,0
Adampur,Chuli Bagarian,Chander Parkash S/O Arjun Lal,INC,1310,1,1
Adampur,Chuli Bagarian,Bhavya Bishnoi,BJP,649,2,1
Adampur,Chuli Bagarian,Randeep Choudaryvas,INLD,35,3,1
Adampur,Chuli Bagarian,Bhupender Beniwal,,17,4,1
Adampur,Chuli Bagarian,Krishan Gangwa Parjapati,JJP,16,5,0
Adampur,Chuli Bagarian,Rajesh Kumar,,2,6,0
Adampur,Chuli Bagarian,Ramphal,,4,7,0
Adampur,Chuli Bagarian,Renu Chahal Balsamand,,5,8,0
Adampur,Chuli Bagarian,Parmod Baswana,,0,9,0
Adampur,Chuli Bagarian,Chander Parkash S/O Raja Ram,,1,10,0
Adampur,Chuli Bagarian,Baljeet Singh,,0,11,0
Adampur,Chuli Bagarian,Amit,,0,12,0
Adampur,Chuli Kalan,Chander Parkash S/O Arjun Lal,INC,991,1,1
Adampur,Chuli Kalan,Bhavya Bishnoi,BJP,469,2,1
Adampur,Chuli Kalan,Randeep Choudaryvas,INLD,14,3,1
Adampur,Chuli Kalan,Bhupender Beniwal,,4,4,1
Adampur,Chuli Kalan,Krishan Gangwa Parjapati,JJP,33,5,0
Adampur,Chuli Kalan,Rajesh Kumar,,3,6,0
Adampur,Chuli Kalan,Ramphal,,4,7,0
Adampur,Chuli Kalan,Renu Chahal Balsamand,,3,8,0
Adampur,Chuli Kalan,Parmod Baswana,,1,9,0
Adampur,Chuli Kalan,Chander Parkash S/O Raja Ram,,1,10,0
Adampur,Chuli Kalan,Baljeet Singh,,0,11,0
Adampur,Chuli Kalan,Amit,,2,12,0
Adampur,Chuli Khurd,Chander Parkash S/O Arjun Lal,INC,943,1,1
Adampur,Chuli Khurd,Bhavya Bishnoi,BJP,462,2,1
Adampur,Chuli Khurd,Randeep Choudaryvas,INLD,30,3,1
Adampur,Chuli Khurd,Bhupender Beniwal,,14,4,1
Adampur,Chuli Khurd,Krishan Gangwa Parjapati,JJP,12,5,0
Adampur,Chuli Khurd,Rajesh Kumar,,2,6,0
Adampur,Chuli Khurd,Ramphal,,0,7,0
Adampur,Chuli Khurd,Renu Chahal Balsamand,,1,8,0
Adampur,Chuli Khurd,Parmod Baswana,,0,9,0
Adampur,Chuli Khurd,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Chuli Khurd,Baljeet Singh,,0,11,0
Adampur,Chuli Khurd,Amit,,2,12,0
Adampur,Dadoli,Chander Parkash S/O Arjun Lal,INC,1129,1,1
Adampur,Dadoli,Bhavya Bishnoi,BJP,729,2,1
Adampur,Dadoli,Randeep Choudaryvas,INLD,47,3,1
Adampur,Dadoli,Bhupender Beniwal,,7,4,1
Adampur,Dadoli,Krishan Gangwa Parjapati,JJP,76,5,0
Adampur,Dadoli,Rajesh Kumar,,2,6,0
Adampur,Dadoli,Ramphal,,3,7,0
Adampur,Dadoli,Renu Chahal Balsamand,,2,8,0
Adampur,Dadoli,Parmod Baswana,,0,9,0
Adampur,Dadoli,Chander Parkash S/O Raja Ram,,0,10,0
Adampur,Dadoli,Baljeet Singh,,1,11,0
Adampur,Dadoli,Amit,,0,12,0
Adampur,Dhandoor,Chander Parkash S/O Arjun Lal,INC,1166,1,1
Adampur,Dhandoor,Bhavya Bishnoi,BJP,1418,2,1
Adampur,Dhandoor,Randeep Choudaryvas,INLD,19,3,1
